"","Pollster","Start.Date","End.Date","Entry.Date.Time..ET.","Number.of.Observations","Population","Mode","Unfavorable","Undecided","Favorable","Pollster.URL","Source.URL","Partisan","Affiliation","Question.Text","Question.Iteration","net"
"36","Morning Consult","2016-02-15","2016-02-16","2016-02-17T11:44:02Z",1763,"Registered Voters","Internet",33,40,27,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-23766","http://morningconsult.com/2016/02/trump-drops-slightly-clinton-holds-steady-in-new-poll/","Nonpartisan","None",,1,-6
"37","NBC/WSJ","2016-02-14","2016-02-16","2016-02-18T22:10:10Z",800,"Registered Voters","Live Phone",14,60,26,"http://elections.huffingtonpost.com/pollster/polls/nbc-wsj-23801","https://www.scribd.com/doc/299690763/NBCNews-WSJ-February-Poll?secret_password=Mf2CgQ8zDGpLW73pfCoJ","Nonpartisan","None",,1,12
"38","AP-GfK (web)","2016-02-11","2016-02-15","2016-02-21T15:00:28Z",1033,"Adults","Internet",24,51,26,"http://elections.huffingtonpost.com/pollster/polls/ap-gfk-web-23821","http://ap-gfkpoll.com/main/wp-content/uploads/2016/02/AP-GfK_Poll_February-2016-topline_Republicans.pdf","Nonpartisan","None",,1,2
"39","YouGov/Economist","2016-02-11","2016-02-15","2016-02-18T16:28:27Z",1963,"Adults","Internet",34,35,32,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-23794","https://today.yougov.com/news/2016/02/18/trump-dominates-gop-field-nationally-kasich-gains/","Nonpartisan","None",,1,-2
"40","Quinnipiac","2016-02-10","2016-02-15","2016-02-18T15:18:37Z",1342,"Registered Voters","Live Phone",18,47,35,"http://elections.huffingtonpost.com/pollster/polls/quinnipiac-23790","http://www.quinnipiac.edu/images/polling/us/us02182016_Urpfd42.pdf","Nonpartisan","None",,1,17
"41","Morning Consult","2016-02-10","2016-02-11","2016-02-12T15:34:31Z",1600,"Registered Voters","Internet",35,33,31,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-23744","http://morningconsult.com/2016/02/donald-trump-bernie-sanders-national-polling/","Nonpartisan","None",,1,-4
"42","Morning Consult","2016-02-03","2016-02-07","2016-02-09T22:39:37Z",4287,"Registered Voters","Internet",33,44,22,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-23731","http://morningconsult.com/2016/02/poll-cruz-rubio-gain-heading-to-new-hampshire/","Nonpartisan","None",,1,-11
"43","Morning Consult","2016-02-02","2016-02-03","2016-02-03T19:49:33Z",1508,"Registered Voters","Internet",33,47,20,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-23659","https://morningconsult.com/2016/02/bernie-sanders-marco-rubio-ted-cruz-rise-after-iowa//","Nonpartisan","None",,1,-13
"44","Morning Consult","2016-01-29","2016-02-01","2016-02-01T21:20:47Z",3739,"Registered Voters","Internet",34,47,20,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-23648","http://morningconsult.com/2016/02/donald-trump-poll-numbers-iowa-caucuses/","Nonpartisan","None",,1,-14
"45","YouGov/Economist","2016-01-27","2016-01-30","2016-02-02T21:05:23Z",2000,"Adults","Internet",35,37,27,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-23654","https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/yga7thfd97/econToplines.pdf","Nonpartisan","None",,1,-8
"46","Morning Consult","2016-01-21","2016-01-24","2016-01-26T20:19:29Z",1405,"Registered Voters","Internet",32,50,18,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-23600","http://big.assets.huffingtonpost.com/160103_topline_trend_v4_TS.pdf","Nonpartisan","None",,1,-14
"47","CNN","2016-01-21","2016-01-24","2016-01-26T12:30:45Z",1002,"Adults","Live Phone",26,51,24,"http://elections.huffingtonpost.com/pollster/polls/cnn-23592","http://www.cnn.com/2016/01/26/politics/poll-republicans-results-cnn-orc/index.html","Nonpartisan","None",,1,-2
"48","YouGov/Economist","2016-01-15","2016-01-19","2016-01-21T21:25:57Z",2000,"Adults","Internet",37,38,25,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-23553","https://today.yougov.com/news/2016/01/21/trump-cruz-battle-donald-trump-still-leads/","Nonpartisan","None",,1,-12
"49","Morning Consult","2016-01-14","2016-01-17","2016-01-19T19:11:34Z",4060,"Registered Voters","Internet",31,49,20,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-23526","http://morningconsult.com/wp-content/uploads/2016/01/160102_Topline-Trend.pdf","Nonpartisan","None",,1,-11
"50","Morning Consult","2016-01-08","2016-01-10","2016-01-14T16:33:59Z",2173,"Registered Voters","Internet",33,48,18,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-23500","http://big.assets.huffingtonpost.com/160101crosstabstrend.pdf","Nonpartisan","None",,1,-15
"51","YouGov/Economist","2015-12-31","2016-01-06","2016-01-10T22:15:48Z",2000,"Adults","Internet",36,40,24,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-23466","https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/kkv0bg7tc3/econTabReport.pdf","Nonpartisan","None",,1,-12
"52","YouGov/Economist","2015-12-18","2015-12-21","2015-12-28T15:24:54Z",2000,"Adults","Internet",39,38,24,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-23415","https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/u2bkqtsd3k/econToplines.pdf","Nonpartisan","None",,1,-15
"53","CNN","2015-12-17","2015-12-21","2015-12-23T12:12:21Z",1018,"Adults","Live Phone",31,47,22,"http://elections.huffingtonpost.com/pollster/polls/cnn-23404","http://i2.cdn.turner.com/cnn/2015/images/12/22/cnnpoll.pdf","Nonpartisan","None",,1,-9
"54","Quinnipiac","2015-12-16","2015-12-20","2015-12-22T14:45:28Z",570,"Registered Voters","Live Phone",20,59,21,"http://elections.huffingtonpost.com/pollster/polls/quinnipiac-23400","http://www.quinnipiac.edu/images/polling/us/us12222015_Uhkm63g.pdf","Nonpartisan","None",,1,1
"55","Morning Consult","2015-12-11","2015-12-15","2015-12-15T20:45:27Z",4038,"Registered Voters","Internet",31,52,17,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-23333","http://big.assets.huffingtonpost.com/151203crosstabstrendTS.pdf","Nonpartisan","None",,1,-14
"56","YouGov/Economist","2015-12-04","2015-12-09","2015-12-10T21:41:27Z",2000,"Adults","Internet",37,41,23,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-23302","https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/xc6vxh6xkf/econToplines.pdf","Nonpartisan","None",,1,-14
"57","AP-GfK (web)","2015-12-03","2015-12-07","2015-12-15T04:53:13Z",1007,"Adults","Internet",25,61,14,"http://elections.huffingtonpost.com/pollster/polls/ap-gfk-web-23325","http://ap-gfkpoll.com/main/wp-content/uploads/2015/12/AP-GfK_Poll_December-2015-Final-topline_GOP.pdf","Nonpartisan","None",,1,-11
"58","Morning Consult","2015-12-03","2015-12-07","2015-12-08T22:24:57Z",2047,"Registered Voters","Internet",32,48,19,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-23281","http://big.assets.huffingtonpost.com/151201crosstabstrend_AP.pdf","Nonpartisan","None",,1,-13
"59","Quinnipiac","2015-11-23","2015-11-30","2015-12-02T12:04:16Z",726,"Registered Voters","Live Phone",23,58,19,"http://elections.huffingtonpost.com/pollster/polls/quinnipiac-23247","http://www.quinnipiac.edu/news-and-events/quinnipiac-university-poll/national/release-detail?ReleaseID=2307","Nonpartisan","None",,1,-4
"60","YouGov/Economist","2015-11-19","2015-11-23","2015-11-25T16:07:28Z",2000,"Adults","Internet",37,41,22,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-23236","https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/lz22bazbpo/econToplines.pdf","Nonpartisan","None",,1,-15
"61","Morning Consult","2015-11-13","2015-11-16","2015-11-17T15:45:58Z",2001,"Registered Voters","Internet",31,54,15,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-23158","http://big.assets.huffingtonpost.com/151104crosstabstrend.pdf","Nonpartisan","None",,1,-16
"62","YouGov/Economist","2015-11-05","2015-11-09","2015-11-10T19:47:52Z",2000,"Adults","Internet",34,43,22,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-23109","https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/1hhz66took/econToplines.pdf","Nonpartisan","None",,1,-12
"63","Morning Consult","2015-11-05","2015-11-08","2015-11-10T17:55:28Z",4002,"Registered Voters","Internet",29,52,18,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-23107","http://big.assets.huffingtonpost.com/151102crosstabstrend.pdf","Nonpartisan","None",,1,-11
"64","Quinnipiac","2015-10-29","2015-11-02","2015-11-04T16:23:42Z",572,"Registered Voters","Live Phone",20,57,23,"http://elections.huffingtonpost.com/pollster/polls/quinnipiac-23059","http://www.quinnipiac.edu/news-and-events/quinnipiac-university-poll/national/release-detail?ReleaseID=2299","Nonpartisan","None",,1,3
"65","Morning Consult","2015-10-29","2015-11-01","2015-11-03T20:26:04Z",2350,"Registered Voters","Internet",29,54,17,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-23056","http://morningconsult.com/polls/new-poll-jeb-bushs-popularity-problem-trump-down-for-second-consecutive-week/","Nonpartisan","None",,1,-12
"66","Gallup","2015-10-19","2015-11-01","2015-11-05T17:12:03Z",7121,"Adults","Live Phone",17,,21,"http://elections.huffingtonpost.com/pollster/polls/gallup-23074","http://www.gallup.com/poll/186494/carson-best-liked-presidential-candidates.aspx","Nonpartisan","None",,1,4
"67","YouGov/Economist","2015-10-23","2015-10-27","2015-10-28T18:31:56Z",2000,"Adults","Internet",34,45,21,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-23014","https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/uobybjo8zg/econToplines.pdf","Nonpartisan","None",,1,-13
"68","Morning Consult","2015-10-22","2015-10-25","2015-10-26T21:12:38Z",1689,"Registered Voters","Internet",28,49,23,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-22994","http://morningconsult.com/wp-content/uploads/2015/10/151006_topline_trend_v2_AP.pdf","Nonpartisan","None",,1,-5
"69","Morning Consult","2015-10-15","2015-10-19","2015-10-20T17:31:31Z",2017,"Registered Voters","Internet",31,51,19,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-22950","http://morningconsult.com/wp-content/uploads/2015/10/151005_topline_trend_v2_TS.pdf","Nonpartisan","None",,1,-12
"70","YouGov/Economist","2015-10-08","2015-10-12","2015-10-14T21:33:18Z",2000,"Adults","Internet",32,45,23,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-22920","https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/oxhxk3fmq5/econTabReport.pdf","Nonpartisan","None",,1,-9
"71","Morning Consult","2015-10-08","2015-10-12","2015-10-13T15:48:47Z",2002,"Registered Voters","Internet",27,55,19,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-22902","http://morningconsult.com/2015/10/ahead-of-debate-clinton-lead-grows/","Nonpartisan","None",,1,-8
"72","Morning Consult","2015-10-02","2015-10-05","2015-10-06T21:34:11Z",1983,"Registered Voters","Internet",28,54,17,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-22858","http://morningconsult.com/wp-content/uploads/2015/10/151001_topline_trend_v1_AP.pdf","Nonpartisan","None",,1,-11
"73","PPP (D)","2015-10-01","2015-10-04","2015-10-06T18:56:54Z",1338,"Likely Voters","IVR/Online",36,42,22,"http://elections.huffingtonpost.com/pollster/polls/ppp-d-22856","http://www.publicpolicypolling.com/pdf/2015/PPP_Release_NationalGOP_100615.pdf","Pollster","Dem",,1,-14
"74","YouGov/Economist","2015-09-25","2015-09-29","2015-10-01T17:56:51Z",2000,"Adults","Internet",30,43,26,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-22829","http://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/8w1iq3dtp2/econToplines.pdf","Nonpartisan","None",,1,-4
"75","Morning Consult","2015-09-24","2015-09-27","2015-09-29T19:48:50Z",1543,"Registered Voters","Internet",28,53,18,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-22814","http://morningconsult.com/wp-content/uploads/2015/09/150908_topline_trend_v1_JW.pdf","Nonpartisan","None",,1,-10
"76","FOX","2015-09-20","2015-09-22","2015-09-28T17:37:40Z",1013,"Registered Voters","Live Phone",25,60,14,"http://elections.huffingtonpost.com/pollster/polls/fox-22805","http://www.foxnews.com/politics/interactive/2015/09/25/fox-news-poll-clinton-and-carson-favorability-ratings/","Nonpartisan","None",,1,-11
"77","Quinnipiac","2015-09-17","2015-09-21","2015-09-24T22:15:01Z",787,"Registered Voters","Live Phone",15,58,27,"http://elections.huffingtonpost.com/pollster/polls/quinnipiac-22788","http://www.quinnipiac.edu/images/polling/us/us09242015_ui47mfb.pdf","Nonpartisan","None",,1,12
"78","Morning Consult","2015-09-18","2015-09-20","2015-09-22T18:00:14Z",4033,"Registered Voters","Internet",28,53,19,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-22772","http://morningconsult.com/wp-content/uploads/2015/09/150907_topline_MERGED-trend_v2_KD.pdf","Nonpartisan","None",,1,-9
"79","CNN","2015-09-17","2015-09-19","2015-09-21T19:19:45Z",1006,"Adults","Live Phone",22,57,21,"http://elections.huffingtonpost.com/pollster/polls/cnn-22761","http://i2.cdn.turner.com/cnn/2015/images/09/20/rel10a.pdf","Nonpartisan","None",,1,-1
"80","YouGov/Economist","2015-09-11","2015-09-15","2015-09-18T19:51:56Z",2000,"Adults","Internet",30,47,23,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-22749","https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/lq8iyjss0l/econToplines_v1.pdf","Nonpartisan","None",,1,-7
"81","Morning Consult","2015-09-11","2015-09-13","2015-09-18T21:11:34Z",2023,"Registered Voters","Internet",25,55,20,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-22752","http://morningconsult.com/wp-content/uploads/2015/09/150904_topline_trend_v1_JW.pdf","Nonpartisan","None",,1,-5
"82","Morning Consult","2015-09-04","2015-09-07","2015-09-11T01:39:52Z",2008,"Registered Voters","Internet",25,52,23,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-22703","http://morningconsult.com/wp-content/uploads/2015/09/150902_crosstabs_trend_v2_JW.pdf","Nonpartisan","None",,1,-2
"83","YouGov/Economist","2015-08-28","2015-09-01","2015-09-04T00:34:09Z",2000,"Adults","Internet",30,47,23,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-22659","https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/k24hv9t9fv/econTabReport.pdf","Nonpartisan","None",,1,-7
"84","PPP (D)","2015-08-28","2015-08-30","2015-09-03T20:26:01Z",1254,"Likely Voters","IVR/Online",37,41,23,"http://elections.huffingtonpost.com/pollster/polls/ppp-d-22654","http://www.publicpolicypolling.com/pdf/2015/PPP_Release_National_90315.pdf","Pollster","Dem",,1,-14
"85","Morning Consult","2015-08-28","2015-08-30","2015-09-01T01:22:28Z",2015,"Registered Voters","Internet",28,53,19,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-22640","http://morningconsult.com/wp-content/uploads/2015/08/150805_topline_trend_v2_JW.pdf","Nonpartisan","None",,1,-9
"86","Quinnipiac","2015-08-20","2015-08-25","2015-08-27T21:51:28Z",781,"Registered Voters","Live Phone",12,63,25,"http://elections.huffingtonpost.com/pollster/polls/quinnipiac-22621","http://www.quinnipiac.edu/news-and-events/quinnipiac-university-poll/national/release-detail?ReleaseID=2274","Nonpartisan","None",,1,13
"87","YouGov/Economist","2015-08-14","2015-08-18","2015-08-24T22:05:33Z",2000,"Adults","Internet",30,44,26,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-22602","https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/zvg9hui4lt/econToplines.pdf","Nonpartisan","None",,1,-4
"88","CNN","2015-08-13","2015-08-16","2015-08-18T18:08:54Z",1001,"Adults","Live Phone",22,55,23,"http://elections.huffingtonpost.com/pollster/polls/cnn-22572","http://i2.cdn.turner.com/cnn/2015/images/08/17/rel8a.-.gop.2016.pdf","Nonpartisan","None",,1,1
"89","YouGov/Economist","2015-08-08","2015-08-10","2015-08-12T01:47:42Z",1000,"Adults","Internet",29,48,24,"http://elections.huffingtonpost.com/pollster/polls/yougov-economist-22545","https://d25d2506sfb94s.cloudfront.net/cumulus_uploads/document/ykesdk07ow/toplines_OPI_Debate_20150811.pdf","Nonpartisan","None",,1,-5
"90","Morning Consult","2015-08-07","2015-08-09","2015-08-10T21:38:34Z",2029,"Registered Voters","Internet",26,53,20,"http://elections.huffingtonpost.com/pollster/polls/morning-consult-22526","http://big.assets.huffingtonpost.com/150802_topline_trend_v4_KD.pdf","Nonpartisan","None",,1,-6
