"","poll_date","votes","candidate","source","type"
"112","2015-05-29",62,"Clinton","Real Clear Politics","first rank"
"113","2015-05-20",57,"Clinton","Real Clear Politics","first rank"
"114","2015-05-10",63,"Clinton","Real Clear Politics","first rank"
"115","2015-05-08",63,"Clinton","Real Clear Politics","first rank"
"116","2015-04-20",62,"Clinton","Real Clear Politics","first rank"
"117","2015-04-17",60,"Clinton","Real Clear Politics","first rank"
"118","2015-04-17",69,"Clinton","Real Clear Politics","first rank"
"119","2015-03-30",61,"Clinton","Real Clear Politics","first rank"
"120","2015-03-27",54,"Clinton","Real Clear Politics","first rank"
"121","2015-03-27",66,"Clinton","Real Clear Politics","first rank"
"122","2015-03-14",62,"Clinton","Real Clear Politics","first rank"
"123","2015-03-02",60,"Clinton","Real Clear Politics","first rank"
"124","2015-02-26",56,"Clinton","Real Clear Politics","first rank"
"125","2015-02-20",54,"Clinton","Real Clear Politics","first rank"
"126","2015-02-12",60,"Clinton","Real Clear Politics","first rank"
"127","2015-01-25",55,"Clinton","Real Clear Politics","first rank"
"128","2015-01-22",60,"Clinton","Real Clear Politics","first rank"
"129","2015-01-18",59,"Clinton","Real Clear Politics","first rank"
"130","2014-12-19",66,"Clinton","Real Clear Politics","first rank"
"131","2016-05-31",37,"Sanders","Real Clear Politics","first rank"
"132","2016-05-24",39,"Sanders","Real Clear Politics","first rank"
"133","2016-05-16",42,"Sanders","Real Clear Politics","first rank"
"134","2016-05-15",45,"Sanders","Real Clear Politics","first rank"
"135","2016-05-13",44,"Sanders","Real Clear Politics","first rank"
"136","2016-04-28",43,"Sanders","Real Clear Politics","first rank"
"137","2016-04-22",43,"Sanders","Real Clear Politics","first rank"
"138","2016-04-20",45,"Sanders","Real Clear Politics","first rank"
"139","2016-04-12",42,"Sanders","Real Clear Politics","first rank"
"140","2016-04-11",46,"Sanders","Real Clear Politics","first rank"
"141","2016-04-10",48,"Sanders","Real Clear Politics","first rank"
"142","2016-04-08",44,"Sanders","Real Clear Politics","first rank"
"143","2016-03-30",47,"Sanders","Real Clear Politics","first rank"
"144","2016-03-28",44,"Sanders","Real Clear Politics","first rank"
"145","2016-03-29",49,"Sanders","Real Clear Politics","first rank"
"146","2016-03-17",43,"Sanders","Real Clear Politics","first rank"
"147","2016-03-24",36,"Sanders","Real Clear Politics","first rank"
"148","2016-03-20",42,"Sanders","Real Clear Politics","first rank"
"149","2016-03-19",49,"Sanders","Real Clear Politics","first rank"
"150","2016-03-17",45,"Sanders","Real Clear Politics","first rank"
"151","2016-03-17",44,"Sanders","Real Clear Politics","first rank"
"152","2016-03-17",37,"Sanders","Real Clear Politics","first rank"
"153","2016-03-16",38,"Sanders","Real Clear Politics","first rank"
"154","2016-03-03",44,"Sanders","Real Clear Politics","first rank"
"155","2016-03-03",42,"Sanders","Real Clear Politics","first rank"
"156","2016-02-24",38,"Sanders","Real Clear Politics","first rank"
"157","2016-02-25",31,"Sanders","Real Clear Politics","first rank"
"158","2016-02-19",43,"Sanders","Real Clear Politics","first rank"
"159","2016-02-15",47,"Sanders","Real Clear Politics","first rank"
"160","2016-02-14",42,"Sanders","Real Clear Politics","first rank"
"161","2016-02-12",39,"Sanders","Real Clear Politics","first rank"
"162","2016-02-11",40,"Sanders","Real Clear Politics","first rank"
"163","2016-02-10",42,"Sanders","Real Clear Politics","first rank"
"164","2016-02-02",42,"Sanders","Real Clear Politics","first rank"
"165","2016-02-03",32,"Sanders","Real Clear Politics","first rank"
"166","2016-02-02",32,"Sanders","Real Clear Politics","first rank"
"167","2016-01-22",38,"Sanders","Real Clear Politics","first rank"
"168","2016-01-21",38,"Sanders","Real Clear Politics","first rank"
"169","2016-01-21",36,"Sanders","Real Clear Politics","first rank"
"170","2016-01-18",37,"Sanders","Real Clear Politics","first rank"
"171","2016-01-15",37,"Sanders","Real Clear Politics","first rank"
"172","2016-01-09",34,"Sanders","Real Clear Politics","first rank"
"173","2016-01-07",41,"Sanders","Real Clear Politics","first rank"
"174","2016-01-04",39,"Sanders","Real Clear Politics","first rank"
"175","2016-01-04",39,"Sanders","Real Clear Politics","first rank"
"176","2015-12-21",30,"Sanders","Real Clear Politics","first rank"
"177","2015-12-18",34,"Sanders","Real Clear Politics","first rank"
"178","2015-12-17",30,"Sanders","Real Clear Politics","first rank"
"179","2015-12-17",34,"Sanders","Real Clear Politics","first rank"
"180","2015-12-17",28,"Sanders","Real Clear Politics","first rank"
"181","2015-12-11",28,"Sanders","Real Clear Politics","first rank"
"182","2015-12-11",26,"Sanders","Real Clear Politics","first rank"
"183","2015-12-07",37,"Sanders","Real Clear Politics","first rank"
"184","2015-12-05",32,"Sanders","Real Clear Politics","first rank"
"185","2015-12-03",29,"Sanders","Real Clear Politics","first rank"
"186","2015-12-01",33,"Sanders","Real Clear Politics","first rank"
"187","2015-11-28",30,"Sanders","Real Clear Politics","first rank"
"188","2015-11-24",30,"Sanders","Real Clear Politics","first rank"
"189","2015-11-17",32,"Sanders","Real Clear Politics","first rank"
"190","2015-11-17",34,"Sanders","Real Clear Politics","first rank"
"191","2015-11-17",26,"Sanders","Real Clear Politics","first rank"
"192","2015-11-16",30,"Sanders","Real Clear Politics","first rank"
"193","2015-11-16",29,"Sanders","Real Clear Politics","first rank"
"194","2015-11-07",33,"Sanders","Real Clear Politics","first rank"
"195","2015-11-02",31,"Sanders","Real Clear Politics","first rank"
"196","2015-10-31",35,"Sanders","Real Clear Politics","first rank"
"197","2015-10-30",35,"Sanders","Real Clear Politics","first rank"
"198","2015-10-26",31,"Sanders","Real Clear Politics","first rank"
"199","2015-10-25",33,"Sanders","Real Clear Politics","first rank"
"200","2015-10-16",29,"Sanders","Real Clear Politics","first rank"
"201","2015-10-16",21,"Sanders","Real Clear Politics","first rank"
"202","2015-10-16",23,"Sanders","Real Clear Politics","first rank"
"203","2015-10-15",29,"Sanders","Real Clear Politics","first rank"
"204","2015-10-11",25,"Sanders","Real Clear Politics","first rank"
"205","2015-10-05",27,"Sanders","Real Clear Politics","first rank"
"206","2015-10-02",24,"Sanders","Real Clear Politics","first rank"
"207","2015-09-27",18,"Sanders","Real Clear Politics","first rank"
"208","2015-09-25",23,"Sanders","Real Clear Politics","first rank"
"209","2015-09-23",24,"Sanders","Real Clear Politics","first rank"
"210","2015-09-21",35,"Sanders","Real Clear Politics","first rank"
"211","2015-09-21",30,"Sanders","Real Clear Politics","first rank"
"212","2015-09-19",24,"Sanders","Real Clear Politics","first rank"
"213","2015-09-18",25,"Sanders","Real Clear Politics","first rank"
"214","2015-09-18",24,"Sanders","Real Clear Politics","first rank"
"215","2015-09-10",27,"Sanders","Real Clear Politics","first rank"
"216","2015-09-08",24,"Sanders","Real Clear Politics","first rank"
"217","2015-09-05",27,"Sanders","Real Clear Politics","first rank"
"218","2015-09-01",20,"Sanders","Real Clear Politics","first rank"
"219","2015-08-29",20,"Sanders","Real Clear Politics","first rank"
"220","2015-08-21",22,"Sanders","Real Clear Politics","first rank"
"221","2015-08-24",24,"Sanders","Real Clear Politics","first rank"
"222","2015-08-14",29,"Sanders","Real Clear Politics","first rank"
"223","2015-08-12",30,"Sanders","Real Clear Politics","first rank"
"224","2015-07-31",16,"Sanders","Real Clear Politics","first rank"
"225","2015-07-31",22,"Sanders","Real Clear Politics","first rank"
"226","2015-07-30",17,"Sanders","Real Clear Politics","first rank"
"227","2015-07-27",25,"Sanders","Real Clear Politics","first rank"
"228","2015-07-24",17,"Sanders","Real Clear Politics","first rank"
"229","2015-07-23",19,"Sanders","Real Clear Politics","first rank"
"230","2015-07-21",22,"Sanders","Real Clear Politics","first rank"
"231","2015-07-17",14,"Sanders","Real Clear Politics","first rank"
"232","2015-07-14",19,"Sanders","Real Clear Politics","first rank"
"233","2015-07-10",14,"Sanders","Real Clear Politics","first rank"
"234","2015-07-10",17,"Sanders","Real Clear Politics","first rank"
"235","2015-06-27",15,"Sanders","Real Clear Politics","first rank"
"236","2015-06-22",15,"Sanders","Real Clear Politics","first rank"
"237","2015-06-15",15,"Sanders","Real Clear Politics","first rank"
"238","2015-06-12",12,"Sanders","Real Clear Politics","first rank"
"239","2015-06-12",9,"Sanders","Real Clear Politics","first rank"
"240","2015-06-01",11,"Sanders","Real Clear Politics","first rank"
"241","2015-05-30",10,"Sanders","Real Clear Politics","first rank"
"242","2015-05-29",10,"Sanders","Real Clear Politics","first rank"
"243","2015-05-20",15,"Sanders","Real Clear Politics","first rank"
"244","2015-05-10",6,"Sanders","Real Clear Politics","first rank"
"245","2015-05-08",13,"Sanders","Real Clear Politics","first rank"
"246","2015-04-20",4,"Sanders","Real Clear Politics","first rank"
"247","2015-04-17",8,"Sanders","Real Clear Politics","first rank"
"248","2015-04-17",5,"Sanders","Real Clear Politics","first rank"
"249","2015-03-30",3,"Sanders","Real Clear Politics","first rank"
"250","2015-03-27",6,"Sanders","Real Clear Politics","first rank"
"251","2015-03-27",5,"Sanders","Real Clear Politics","first rank"
"252","2015-03-14",3,"Sanders","Real Clear Politics","first rank"
"253","2015-03-02",5,"Sanders","Real Clear Politics","first rank"
"254","2015-02-26",4,"Sanders","Real Clear Politics","first rank"
"255","2015-02-20",5,"Sanders","Real Clear Politics","first rank"
"256","2015-02-12",3,"Sanders","Real Clear Politics","first rank"
"257","2015-01-25",3,"Sanders","Real Clear Politics","first rank"
"258","2015-01-22",2,"Sanders","Real Clear Politics","first rank"
"259","2015-01-18",4,"Sanders","Real Clear Politics","first rank"
"260","2014-12-19",3,"Sanders","Real Clear Politics","first rank"
"261","2016-04-28",49,"Trump","Real Clear Politics","first rank"
"262","2016-04-22",48,"Trump","Real Clear Politics","first rank"
"263","2016-04-20",45,"Trump","Real Clear Politics","first rank"
"264","2016-04-12",44,"Trump","Real Clear Politics","first rank"
"265","2016-04-11",45,"Trump","Real Clear Politics","first rank"
"266","2016-04-10",40,"Trump","Real Clear Politics","first rank"
"267","2016-04-08",42,"Trump","Real Clear Politics","first rank"
"268","2016-03-30",37,"Trump","Real Clear Politics","first rank"
"269","2016-03-28",38,"Trump","Real Clear Politics","first rank"
"270","2016-03-29",40,"Trump","Real Clear Politics","first rank"
"271","2016-03-17",41,"Trump","Real Clear Politics","first rank"
"272","2016-03-24",42,"Trump","Real Clear Politics","first rank"
"273","2016-03-20",41,"Trump","Real Clear Politics","first rank"
"274","2016-03-19",40,"Trump","Real Clear Politics","first rank"
"275","2016-03-17",41,"Trump","Real Clear Politics","first rank"
"276","2016-03-17",47,"Trump","Real Clear Politics","first rank"
"277","2016-03-17",46,"Trump","Real Clear Politics","first rank"
"278","2016-03-16",43,"Trump","Real Clear Politics","first rank"
"279","2016-03-16",43,"Trump","Real Clear Politics","first rank"
"280","2016-03-03",30,"Trump","Real Clear Politics","first rank"
"281","2016-03-03",34,"Trump","Real Clear Politics","first rank"
"282","2016-02-24",49,"Trump","Real Clear Politics","first rank"
"283","2016-02-19",31,"Trump","Real Clear Politics","first rank"
"284","2016-02-21",36,"Trump","Real Clear Politics","first rank"
"285","2016-02-15",36,"Trump","Real Clear Politics","first rank"
"286","2016-02-14",26,"Trump","Real Clear Politics","first rank"
"287","2016-02-12",35,"Trump","Real Clear Politics","first rank"
"288","2016-02-11",35,"Trump","Real Clear Politics","first rank"
"289","2016-02-10",39,"Trump","Real Clear Politics","first rank"
"290","2016-02-02",31,"Trump","Real Clear Politics","first rank"
"291","2016-02-03",31,"Trump","Real Clear Politics","first rank"
"292","2016-02-02",25,"Trump","Real Clear Politics","first rank"
"293","2016-01-22",31,"Trump","Real Clear Politics","first rank"
"294","2016-01-21",41,"Trump","Real Clear Politics","first rank"
"295","2016-01-21",37,"Trump","Real Clear Politics","first rank"
"296","2016-01-18",34,"Trump","Real Clear Politics","first rank"
"297","2016-01-15",36,"Trump","Real Clear Politics","first rank"
"298","2016-01-09",33,"Trump","Real Clear Politics","first rank"
"299","2016-01-07",36,"Trump","Real Clear Politics","first rank"
"300","2016-01-04",34,"Trump","Real Clear Politics","first rank"
"301","2016-01-04",35,"Trump","Real Clear Politics","first rank"
"302","2015-12-18",39,"Trump","Real Clear Politics","first rank"
"303","2015-12-17",28,"Trump","Real Clear Politics","first rank"
"304","2015-12-17",39,"Trump","Real Clear Politics","first rank"
"305","2015-12-17",34,"Trump","Real Clear Politics","first rank"
"306","2015-12-11",38,"Trump","Real Clear Politics","first rank"
"307","2015-12-11",41,"Trump","Real Clear Politics","first rank"
"308","2015-12-07",27,"Trump","Real Clear Politics","first rank"
"309","2015-12-05",35,"Trump","Real Clear Politics","first rank"
"310","2015-12-03",27,"Trump","Real Clear Politics","first rank"
"311","2015-12-01",27,"Trump","Real Clear Politics","first rank"
"312","2015-11-28",36,"Trump","Real Clear Politics","first rank"
"313","2015-11-24",27,"Trump","Real Clear Politics","first rank"
"314","2015-11-17",28,"Trump","Real Clear Politics","first rank"
"315","2015-11-17",32,"Trump","Real Clear Politics","first rank"
"316","2015-11-17",26,"Trump","Real Clear Politics","first rank"
"317","2015-11-16",24,"Trump","Real Clear Politics","first rank"
"318","2015-11-02",26,"Trump","Real Clear Politics","first rank"
"319","2015-10-30",23,"Trump","Real Clear Politics","first rank"
"320","2015-10-30",24,"Trump","Real Clear Politics","first rank"
"321","2015-10-26",23,"Trump","Real Clear Politics","first rank"
"322","2015-10-25",28,"Trump","Real Clear Politics","first rank"
"323","2015-10-22",22,"Trump","Real Clear Politics","first rank"
"324","2015-10-16",25,"Trump","Real Clear Politics","first rank"
"325","2015-10-16",28,"Trump","Real Clear Politics","first rank"
"326","2015-10-16",32,"Trump","Real Clear Politics","first rank"
"327","2015-10-15",27,"Trump","Real Clear Politics","first rank"
"328","2015-10-11",24,"Trump","Real Clear Politics","first rank"
"329","2015-10-05",27,"Trump","Real Clear Politics","first rank"
"330","2015-10-02",27,"Trump","Real Clear Politics","first rank"
"331","2015-09-27",17,"Trump","Real Clear Politics","first rank"
"332","2015-09-25",23,"Trump","Real Clear Politics","first rank"
"333","2015-09-23",25,"Trump","Real Clear Politics","first rank"
"334","2015-09-21",21,"Trump","Real Clear Politics","first rank"
"335","2015-09-21",26,"Trump","Real Clear Politics","first rank"
"336","2015-09-19",21,"Trump","Real Clear Politics","first rank"
"337","2015-09-18",25,"Trump","Real Clear Politics","first rank"
"338","2015-09-18",24,"Trump","Real Clear Politics","first rank"
"339","2015-09-10",27,"Trump","Real Clear Politics","first rank"
"340","2015-09-08",33,"Trump","Real Clear Politics","first rank"
"341","2015-09-05",32,"Trump","Real Clear Politics","first rank"
"342","2015-09-01",30,"Trump","Real Clear Politics","first rank"
"343","2015-08-29",29,"Trump","Real Clear Politics","first rank"
"344","2015-08-21",28,"Trump","Real Clear Politics","first rank"
"345","2015-08-14",24,"Trump","Real Clear Politics","first rank"
"346","2015-08-12",25,"Trump","Real Clear Politics","first rank"
"347","2015-08-10",17,"Trump","Real Clear Politics","first rank"
"348","2015-07-31",26,"Trump","Real Clear Politics","first rank"
"349","2015-07-31",26,"Trump","Real Clear Politics","first rank"
"350","2015-07-31",21,"Trump","Real Clear Politics","first rank"
"351","2015-07-30",24,"Trump","Real Clear Politics","first rank"
"352","2015-07-27",19,"Trump","Real Clear Politics","first rank"
"353","2015-07-24",20,"Trump","Real Clear Politics","first rank"
"354","2015-07-27",26,"Trump","Real Clear Politics","first rank"
"355","2015-07-23",18,"Trump","Real Clear Politics","first rank"
"356","2015-07-21",19,"Trump","Real Clear Politics","first rank"
"357","2015-07-17",24,"Trump","Real Clear Politics","first rank"
"358","2015-07-14",18,"Trump","Real Clear Politics","first rank"
"359","2015-07-10",17,"Trump","Real Clear Politics","first rank"
"360","2015-07-10",13,"Trump","Real Clear Politics","first rank"
"361","2015-06-27",12,"Trump","Real Clear Politics","first rank"
"362","2015-06-22",11,"Trump","Real Clear Politics","first rank"
"363","2015-06-15",1,"Trump","Real Clear Politics","first rank"
"364","2015-06-12",2,"Trump","Real Clear Politics","first rank"
"365","2015-06-01",4,"Trump","Real Clear Politics","first rank"
"366","2015-05-30",3,"Trump","Real Clear Politics","first rank"
"367","2015-05-29",4,"Trump","Real Clear Politics","first rank"
"368","2015-05-20",5,"Trump","Real Clear Politics","first rank"
"369","2015-05-10",4,"Trump","Real Clear Politics","first rank"
"370","2015-05-08",,"Trump","Real Clear Politics","first rank"
"371","2015-04-27",,"Trump","Real Clear Politics","first rank"
"372","2015-04-20",5,"Trump","Real Clear Politics","first rank"
"373","2015-04-17",,"Trump","Real Clear Politics","first rank"
"374","2015-04-17",,"Trump","Real Clear Politics","first rank"
"375","2015-03-30",3,"Trump","Real Clear Politics","first rank"
"376","2015-03-27",,"Trump","Real Clear Politics","first rank"
"377","2015-03-27",,"Trump","Real Clear Politics","first rank"
"378","2015-03-14",,"Trump","Real Clear Politics","first rank"
"379","2015-03-02",,"Trump","Real Clear Politics","first rank"
"380","2015-02-26",,"Trump","Real Clear Politics","first rank"
"381","2015-02-20",,"Trump","Real Clear Politics","first rank"
"382","2015-02-12",,"Trump","Real Clear Politics","first rank"
"383","2015-01-25",,"Trump","Real Clear Politics","first rank"
"384","2014-12-19",,"Trump","Real Clear Politics","first rank"
"385","2016-04-28",25,"Cruz","Real Clear Politics","first rank"
"386","2016-04-22",29,"Cruz","Real Clear Politics","first rank"
"387","2016-04-20",29,"Cruz","Real Clear Politics","first rank"
"388","2016-04-12",25,"Cruz","Real Clear Politics","first rank"
"389","2016-04-11",27,"Cruz","Real Clear Politics","first rank"
"390","2016-04-10",35,"Cruz","Real Clear Politics","first rank"
"391","2016-04-08",29,"Cruz","Real Clear Politics","first rank"
"392","2016-03-30",31,"Cruz","Real Clear Politics","first rank"
"393","2016-03-28",31,"Cruz","Real Clear Politics","first rank"
"394","2016-03-29",35,"Cruz","Real Clear Politics","first rank"
"395","2016-03-17",32,"Cruz","Real Clear Politics","first rank"
"396","2016-03-24",32,"Cruz","Real Clear Politics","first rank"
"397","2016-03-20",38,"Cruz","Real Clear Politics","first rank"
"398","2016-03-19",31,"Cruz","Real Clear Politics","first rank"
"399","2016-03-17",29,"Cruz","Real Clear Politics","first rank"
"400","2016-03-17",31,"Cruz","Real Clear Politics","first rank"
"401","2016-03-17",26,"Cruz","Real Clear Politics","first rank"
"402","2016-03-16",29,"Cruz","Real Clear Politics","first rank"
"403","2016-03-16",28,"Cruz","Real Clear Politics","first rank"
"404","2016-03-03",27,"Cruz","Real Clear Politics","first rank"
"405","2016-03-03",25,"Cruz","Real Clear Politics","first rank"
"406","2016-02-24",15,"Cruz","Real Clear Politics","first rank"
"407","2016-02-19",20,"Cruz","Real Clear Politics","first rank"
"408","2016-02-21",17,"Cruz","Real Clear Politics","first rank"
"409","2016-02-15",19,"Cruz","Real Clear Politics","first rank"
"410","2016-02-14",28,"Cruz","Real Clear Politics","first rank"
"411","2016-02-12",18,"Cruz","Real Clear Politics","first rank"
"412","2016-02-11",20,"Cruz","Real Clear Politics","first rank"
"413","2016-02-10",18,"Cruz","Real Clear Politics","first rank"
"414","2016-02-02",22,"Cruz","Real Clear Politics","first rank"
"415","2016-02-03",20,"Cruz","Real Clear Politics","first rank"
"416","2016-02-02",21,"Cruz","Real Clear Politics","first rank"
"417","2016-01-22",21,"Cruz","Real Clear Politics","first rank"
"418","2016-01-21",19,"Cruz","Real Clear Politics","first rank"
"419","2016-01-21",21,"Cruz","Real Clear Politics","first rank"
"420","2016-01-18",20,"Cruz","Real Clear Politics","first rank"
"421","2016-01-15",17,"Cruz","Real Clear Politics","first rank"
"422","2016-01-09",20,"Cruz","Real Clear Politics","first rank"
"423","2016-01-07",19,"Cruz","Real Clear Politics","first rank"
"424","2016-01-04",18,"Cruz","Real Clear Politics","first rank"
"425","2016-01-04",20,"Cruz","Real Clear Politics","first rank"
"426","2015-12-18",18,"Cruz","Real Clear Politics","first rank"
"427","2015-12-17",24,"Cruz","Real Clear Politics","first rank"
"428","2015-12-17",18,"Cruz","Real Clear Politics","first rank"
"429","2015-12-17",18,"Cruz","Real Clear Politics","first rank"
"430","2015-12-11",15,"Cruz","Real Clear Politics","first rank"
"431","2015-12-11",14,"Cruz","Real Clear Politics","first rank"
"432","2015-12-07",22,"Cruz","Real Clear Politics","first rank"
"433","2015-12-05",16,"Cruz","Real Clear Politics","first rank"
"434","2015-12-03",17,"Cruz","Real Clear Politics","first rank"
"435","2015-12-01",13,"Cruz","Real Clear Politics","first rank"
"436","2015-11-28",16,"Cruz","Real Clear Politics","first rank"
"437","2015-11-24",16,"Cruz","Real Clear Politics","first rank"
"438","2015-11-17",14,"Cruz","Real Clear Politics","first rank"
"439","2015-11-17",8,"Cruz","Real Clear Politics","first rank"
"440","2015-11-17",14,"Cruz","Real Clear Politics","first rank"
